NORAD_ID,Name
324,THOR ABLESTAR DEB
325,THOR ABLESTAR DEB
326,THOR ABLESTAR DEB
327,THOR ABLESTAR DEB
328,THOR ABLESTAR DEB
329,THOR ABLESTAR DEB
330,THOR ABLESTAR DEB
331,THOR ABLESTAR DEB
332,THOR ABLESTAR DEB
333,THOR ABLESTAR DEB
334,THOR ABLESTAR DEB
335,THOR ABLESTAR DEB
336,THOR ABLESTAR DEB
337,THOR ABLESTAR DEB
338,COSMOS 6 (SPUTNIK 16)
339,SL-7 R/B
340,TELSTAR 1
341,DELTA 1 R/B
342,ATLAS AGENA B R/B
343,SAMOS 9 (FTV 2403)
344,FTV 1130
345,FTV 1131
346,COSMOS 7 (SPUTNIK 17)
347,SL-3 R/B
348,SL-3 DEB
349,SL-3 DEB
350,THOR ABLESTAR DEB
351,THOR ABLESTAR DEB
352,THOR ABLESTAR DEB
353,THOR ABLESTAR DEB
354,THOR ABLESTAR DEB
355,THOR ABLESTAR DEB
356,THOR ABLESTAR DEB
357,THOR ABLESTAR DEB
358,THOR ABLESTAR DEB
359,THOR ABLESTAR DEB
360,FTV 1152
361,SAMOS 10 (FTV 2404)
362,FTV 1152 DEB
363,VOSTOK 3
364,SL-3 R/B
365,VOSTOK 4
366,SL-3 R/B
367,COSMOS 8 (SPUTNIK 18)
368,SL-7 R/B
369,FTV 3502
370,SCOUT X-2M DEB
371,SPUTNIK 19
372,SL-6 R/B
373,SL-6 DEB
374,MARINER 2
375,ATLAS AGENA B R/B
376,SL-6 DEB
377,FTV 1153
378,SCOUT X-2M DEB
379,SL-6 DEB
380,SL-6 DEB
381,SPUTNIK 20
382,SL-6 R/B
383,SL-6 DEB
384,SL-6 DEB
385,FTV 1132
386,SL-6 DEB
387,SL-6 DEB
388,SCOUT X-2M R/B
389,SPUTNIK 21
390,SL-6 R/B
391,SL-6 DEB
392,SL-6 DEB
393,SL-6 DEB
394,SL-6 DEB
395,SL-6 DEB
396,FTV 1133 & ERS 2
397,TIROS 6
398,DELTA 1 R/B
399,DELTA 1 DEB [YO]
400,DELTA 1 DEB [YO]
401,THOR ABLESTAR DEB
402,THOR ABLESTAR DEB
403,THOR ABLESTAR DEB
404,THOR ABLESTAR DEB
405,THOR ABLESTAR DEB
406,THOR ABLESTAR DEB
407,THOR ABLESTAR DEB
408,THOR ABLESTAR DEB
409,THOR ABLESTAR DEB
410,THOR ABLESTAR DEB
411,THOR ABLESTAR DEB
412,THOR ABLESTAR DEB
413,THOR ABLESTAR DEB
414,THOR ABLESTAR DEB
415,THOR ABLESTAR DEB
416,THOR ABLESTAR DEB
417,THOR ABLESTAR DEB
418,THOR ABLESTAR DEB
419,THOR ABLESTAR DEB
420,THOR ABLESTAR DEB
421,THOR ABLESTAR DEB
422,COSMOS 9
423,SL-3 R/B
424,ALOUETTE 1 (S-27)
425,SL-3 DEB
426,THOR AGENA B R/B
427,FTV 1154
428,SL-3 DEB
429,SL-3 DEB
430,SL-3 DEB
431,SL-3 DEB
432,EXPLORER 14 (SERB 53A)
433,MERCURY ATLAS 8
434,ATLAS D R/B
435,SL-3 DEB
436,FTV 1134
437,COSMOS 10
438,SL-3 R/B
439,RANGER 5
440,ATLAS AGENA B R/B
441,COSMOS 11
442,SL-7 R/B
443,SPUTNIK 22
444,STARAD (FTV 1401)
445,EXPLORER 15 (SERB 53B)
446,ANNA 1B
447,THOR ABLESTAR R/B
448,SL-6 R/B
449,SL-6 DEB
450,MARS 1
451,SPUTNIK 24
452,SL-6 DEB
453,FTV 1136
454,SL-6 R/B
455,FTV 2405
456,SPUTNIK 22 DEB
457,SPUTNIK 22 DEB
458,SPUTNIK 22 DEB
459,SPUTNIK 22 DEB
460,SPUTNIK 22 DEB
461,THOR ABLESTAR DEB
462,THOR ABLESTAR DEB
463,THOR ABLESTAR DEB
464,THOR ABLESTAR DEB
465,THOR ABLESTAR DEB
466,THOR ABLESTAR DEB
467,THOR ABLESTAR DEB
468,THOR ABLESTAR DEB
469,THOR ABLESTAR DEB
470,THOR ABLESTAR DEB
471,THOR ABLESTAR DEB
472,THOR ABLESTAR DEB
473,THOR ABLESTAR DEB
474,THOR ABLESTAR DEB
475,THOR ABLESTAR DEB
476,THOR ABLESTAR DEB
477,THOR ABLESTAR DEB
478,THOR ABLESTAR DEB
479,THOR ABLESTAR DEB
480,THOR ABLESTAR DEB
481,FTV 1135
482,SPUTNIK 22 DEB
483,SPUTNIK 22 DEB
484,SPUTNIK 22 DEB
485,SPUTNIK 22 DEB
486,SPUTNIK 22 DEB
487,SPUTNIK 22 DEB
488,SL-6 DEB
489,SL-6 DEB
490,FTV 1155
491,SPUTNIK 22 DEB
492,SPUTNIK 22 DEB
493,SPUTNIK 22 DEB
494,SPUTNIK 22 DEB
495,SPUTNIK 22 DEB
496,SPUTNIK 22 DEB
497,SPUTNIK 22 DEB
498,SPUTNIK 22 DEB
499,SPUTNIK 22 DEB
500,SPUTNIK 22 DEB
501,SPUTNIK 22 DEB
502,BLACK SPHERE
503,RELAY 1 (A-15)
504,INJUN 3
505,FTV 1156
506,EXPLORER 16
507,SURCAL 1
508,SURCAL 1A
509,TRANSIT 5A
510,THOR AGENA B DEB
511,THOR AGENA B DEB
512,SPUTNIK 22 DEB
513,CALSPHERE 1A
514,SCOUT X-3 DEB
515,DELTA 1 R/B
516,THOR ABLESTAR DEB
517,COSMOS 12
518,SL-3 R/B
519,SCOUT X-3 R/B
520,THOR AGENA D R/B
521,SPUTNIK 25
522,SPUTNIK 25 DEB
